event,time_us,gQA1,gQA2,gQA3,gQA4,gQB1,gQB2,gQB3,gQB4,gSR1,gSR2,stateA,stateB,uAB_V,vsec_V,ipri_A,iLo1_A,iLo2_A
t0,0.0133333333332541,0,1,1,0,0,0,1,1,0,1,0,-1,371.49797375879,43.2545917186338,0.989962477492573,9.05072279826524,10.1068349421103
t1,0.173333333333171,0,1,0,0,0,0,1,1,0,1,0,-1,371.444506255238,35.5561951169534,0.972515078732362,9.1409292903639,10.0547336001403
t2,0.393333333333599,1,1,0,0,0,0,1,1,0,1,1,-1,741.827678752999,82.3127735750918,0.998166407620652,9.40400580475294,9.98309454195497
t3,1.19333333333319,1,1,0,0,0,0,1,0,0,1,1,0,739.167701427392,80.8900203770246,1.24467230295889,10.528870315469,9.72258754199609
t4,1.3533333333331,1,1,0,0,0,1,1,0,0,1,1,0,368.018317478391,35.7889702301194,1.29548081896999,10.6278100882135,9.67048644365761
t5,1.51333333333302,1,1,0,0,0,1,0,0,0,1,1,0,367.950215386702,35.8922610462789,1.2932567627522,10.7150567429234,9.61838571420732
t6,1.73333333333345,1,1,0,0,1,1,0,0,1,1,1,1,-2.53503730568563,-0.410830398593785,1.25289135344885,10.6588334067802,9.54675291923544
t7,3.17333333333357,0,1,0,0,1,1,0,0,1,0,0,1,-0.845449661402718,0.0344758333747827,1.11572485112745,10.1908694091878,9.07801722373854
t8,3.39333333333313,0,1,1,0,1,1,0,0,1,0,0,1,-371.356265735733,-47.2499408022415,-0.842544040596392,10.1192945176798,9.06175016150497
t9,3.51333333333328,0,0,1,0,1,1,0,0,1,0,0,1,-371.28869583377,-32.7125931297581,-0.96222976810781,10.0802190784606,9.12080981001682
t10,3.73333333333371,0,0,1,1,1,1,0,0,1,0,-1,1,-741.808295054765,-81.9224517167058,-0.989373527000522,10.0085806339154,9.3766493873334
t11,4.51333333333342,0,0,1,1,0,1,0,0,1,0,-1,0,-739.164605839988,-81.0997601152324,-1.22713385280661,9.75458884723022,10.4732830330134
t12,4.73333333333298,0,0,1,1,0,1,1,0,1,0,-1,0,-368.134808530703,-33.9639927153058,-1.23487426193798,9.68295063602731,10.6076123469582
t13,4.85333333333313,0,0,1,1,0,0,1,0,1,0,-1,0,-368.07159198023,-41.7818423744681,-1.29083723709552,9.64387558777841,10.6693459265325
t14,5.07333333333356,0,0,1,1,0,0,1,1,1,1,-1,-1,2.53826351628057,0.412698942679981,-1.19926054366424,9.57224666120139,10.6162310975224
t15,6.51333333333368,0,0,1,0,0,0,1,1,0,1,0,-1,0.851113649886164,-0.0328447981529663,-1.05848869202035,9.10354069353661,10.1482650565081
